cid ra dec index
jets_5323_e2_171 53.16203906 -27.74638366 0
jets_5323_e2_43 53.15281407 -27.77244335 1
jets_e1_200 53.15232966 -27.74557935 2
jets_e2_1135 53.13349215 -27.81427374 3
jets_e2_1146 53.18696897 -27.81262894 4
jets_e2_1342 53.19190467 -27.78523416 5
jets_e2_1387 53.15281144 -27.77244794 6
jets_e2_334 53.11987833 -27.79879393 7
jets_e2_379 53.17585994 -27.79346596 8
jets_e2_417 53.14725067 -27.79062221 9
jets_e2_484 53.14499139 -27.77827384 10
jets_e2_534 53.16262306 -27.77099932 11
jets_e2_704 53.15784009 -27.74938766 12
jets_e2_817 53.15232925 -27.7455793 13
jets_e2_935 53.16203877 -27.74638521 14
jets_e3_1160 53.15281256 -27.77244577 15
jets_e3_1163 53.16262346 -27.77099975 16
jets_e3_1195 53.16203973 -27.74638487 17
jets_e3_1206 53.17281684 -27.84859673 18
jets_e3_1209 53.17620193 -27.84667472 19
jets_e3_1215 53.172963 -27.84513566 20
jets_e3_1498 53.17354922 -27.84777429 21
jets_e3_1509 53.17679204 -27.84644882 22
jets_e3_1512 53.17765943 -27.8449319 23
jets_e3_1516 53.1775668 -27.843761 24
jets_e3_22 53.17304638 -27.84806836 25
jets_e3_2320 53.16110491 -27.75155356 26
jets_e3_2341 53.17283195 -27.84859547 27
jets_e3_27 53.1759918 -27.84729119 28
jets_e3_56 53.17538075 -27.84411801 29
jets_e3_9 53.17238184 -27.84936353 30
